ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000266252;2024;SA;20240131;20240131;CLP;1553.43;1553.43;S;20240131;0;;;;20240131;0000266252
CLEARED;1000;96689310-9;0000266254;2024;SA;20240131;20240131;CLP;364.74;364.74;S;20240131;0;;;;20240131;0000266254
CLEARED;1000;96689310-9;0000266256;2024;SA;20240131;20240131;CLP;4029.80;4029.80;S;20240131;0;;;;20240131;0000266256
CLEARED;1000;96689310-9;0000266261;2024;SA;20240131;20240131;CLP;1820.22;1820.22;S;20240131;0;;;;20240131;0000266261
CLEARED;1000;96689310-9;0000266267;2024;SA;20240131;20240131;CLP;1373.00;1373.00;S;20240131;0;;;;20240131;0000266267
CLEARED;1000;96689310-9;0000266268;2024;SA;20240131;20240131;CLP;214.20;214.20;S;20240131;0;;;;20240131;0000266268
CLEARED;1000;96689310-9;0000266273;2024;SA;20240131;20240131;CLP;289.80;289.80;S;20240131;0;;;;20240131;0000266273
CLEARED;1000;96689310-9;0000266291;2024;SA;20240131;20240131;CLP;289.80;289.80;S;20240131;0;;;;20240131;0000266291
CLEARED;1000;96689310-9;0000266294;2024;SA;20240131;20240131;CLP;6173.07;6173.07;S;20240131;0;;;;20240131;0000266294
CLEARED;1000;96689310-9;0000266297;2024;SA;20240131;20240131;CLP;878.60;878.60;S;20240131;0;;;;20240131;0000266297
CLEARED;1000;96689310-9;0000266303;2024;SA;20240131;20240131;CLP;2907.10;2907.10;S;20240131;0;;;;20240131;0000266303
CLEARED;1000;96689310-9;0000266304;2024;SA;20240131;20240131;CLP;3973.90;3973.90;S;20240131;0;;;;20240131;0000266304
CLEARED;1000;96689310-9;0000266308;2024;SA;20240131;20240131;CLP;7423.28;7423.28;S;20240131;0;;;;20240131;0000266308
CLEARED;1000;96689310-9;0000266313;2024;SA;20240131;20240131;CLP;440.80;440.80;S;20240131;0;;;;20240131;0000266313
CLEARED;1000;96689310-9;0000266314;2024;SA;20240131;20240131;CLP;858.12;858.12;S;20240131;0;;;;20240131;0000266314
CLEARED;1000;96689310-9;0000266318;2024;SA;20240131;20240131;CLP;309.80;309.80;S;20240131;0;;;;20240131;0000266318
CLEARED;1000;96689310-9;0000266319;2024;SA;20240131;20240131;CLP;1044.58;1044.58;S;20240131;0;;;;20240131;0000266319
CLEARED;1000;96689310-9;0000266325;2024;SA;20240131;20240131;CLP;121.81;121.81;S;20240131;0;;;;20240131;0000266325
CLEARED;1000;96689310-9;0000266332;2024;SA;20240131;20240131;CLP;4752.21;4752.21;S;20240131;0;;;;20240131;0000266332
CLEARED;1000;96689310-9;0000266338;2024;SA;20240131;20240131;CLP;346.30;346.30;S;20240131;0;;;;20240131;0000266338
CLEARED;1000;96689310-9;0000266344;2024;SA;20240131;20240131;CLP;1736.79;1736.79;S;20240131;0;;;;20240131;0000266344
CLEARED;1000;96689310-9;0000266400;2024;SA;20240131;20240131;CLP;7585.38;7585.38;S;20240131;0;;;;20240131;0000266400
CLEARED;1000;96689310-9;0000266401;2024;SA;20240131;20240131;CLP;575.52;575.52;S;20240131;0;;;;20240131;0000266401
CLEARED;1000;96689310-9;0000266404;2024;SA;20240131;20240131;CLP;2400.00;2400.00;S;20240131;0;;;;20240131;0000266404
CLEARED;1000;96689310-9;0000266409;2024;SA;20240131;20240131;CLP;4490.37;4490.37;S;20240131;0;;;;20240131;0000266409
CLEARED;1000;96689310-9;0000266420;2024;SA;20240131;20240131;CLP;145.75;145.75;S;20240131;0;;;;20240131;0000266420
CLEARED;1000;96689310-9;0000266422;2024;SA;20240131;20240131;CLP;290.63;290.63;S;20240131;0;;;;20240131;0000266422
CLEARED;1000;96689310-9;0000266425;2024;SA;20240131;20240131;CLP;3641.05;3641.05;S;20240131;0;;;;20240131;0000266425
CLEARED;1000;96689310-9;0000266429;2024;SA;20240131;20240131;CLP;3272.73;3272.73;S;20240131;0;;;;20240131;0000266429
CLEARED;1000;96689310-9;0000266431;2024;SA;20240131;20240131;CLP;464.21;464.21;S;20240131;0;;;;20240131;0000266431
CLEARED;1000;96689310-9;0000266433;2024;SA;20240131;20240131;CLP;1790.88;1790.88;S;20240131;0;;;;20240131;0000266433
