ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
OPEN;1000;77225200-5;0200088298;2025;ZP;20250203;20250203;CLP;356.43;356.43;S;20250203;0;;A004791106-01;Facturas: A004791106- 01;;
OPEN;1000;77225200-5;0200089584;2025;ZP;20250204;20250204;CLP;356.43;356.43;S;20250130;0;;A004791681-01;Facturas: A004791681- 01;;
OPEN;1000;77225200-5;0200089586;2025;ZP;20250204;20250204;CLP;356.43;356.43;S;20250130;0;;A004791683-01;Facturas: A004791683- 01;;
OPEN;1000;77225200-5;0200089646;2025;ZP;20250204;20250204;CLP;356.43;356.43;S;20250130;0;;A004791712-01;Facturas: A004791712- 01;;
OPEN;1000;77225200-5;0200089892;2025;ZP;20250204;20250204;CLP;356.43;356.43;S;20250204;0;;A004791795-01;Facturas: A004791795- 01;;
OPEN;1000;77225200-5;0200089900;2025;ZP;20250204;20250204;CLP;356.43;356.43;S;20250204;0;;A004791800-01;Facturas: A004791800- 01;;
OPEN;1000;77225200-5;0200092977;2025;ZP;20250205;20250205;CLP;356.43;356.43;S;20250205;0;;A004792924-01;Facturas: A004792924- 01;;
OPEN;1000;77225200-5;0200119875;2025;ZP;20250210;20250210;CLP;356.43;356.43;S;20250210;0;;0096775250-01;Facturas: 0096775250- 01;;
OPEN;1000;77225200-5;0200139394;2025;ZP;20250226;20250226;CLP;356.43;356.43;S;20250226;0;;A004810612-01;Facturas: A004810612- 01;;
OPEN;1000;77225200-5;0200140209;2025;ZP;20250226;20250226;CLP;356.43;356.43;S;20250225;0;;A004810998-01;Facturas: A004810998- 01;;
OPEN;1000;77225200-5;0200140212;2025;ZP;20250226;20250226;CLP;356.43;356.43;S;20250225;0;;A004811003-01;Facturas: A004811003- 01;;
OPEN;1000;77225200-5;0200140215;2025;ZP;20250226;20250226;CLP;356.43;356.43;S;20250225;0;;A004811005-01;Facturas: A004811005- 01;;
OPEN;1000;77225200-5;0200140224;2025;ZP;20250226;20250226;CLP;356.43;356.43;S;20250225;0;;A004811012-01;Facturas: A004811012- 01;;
OPEN;1000;77225200-5;0200142343;2025;ZP;20250226;20250226;CLP;356.43;356.43;S;20250226;0;;0096796979-01;Facturas: 0096796979- 01;;
OPEN;1000;77225200-5;0200146828;2025;ZP;20250227;20250227;CLP;356.43;356.43;S;20250227;0;;A004813600-01;Facturas: A004813600- 01;;
OPEN;1000;77225200-5;0200146840;2025;ZP;20250227;20250227;CLP;356.43;356.43;S;20250227;0;;A004813613-01;Facturas: A004813613- 01;;
OPEN;1000;77225200-5;0200146842;2025;ZP;20250227;20250227;CLP;356.43;356.43;S;20250227;0;;A004813615-01;Facturas: A004813615- 01;;
OPEN;1000;77225200-5;0200146844;2025;ZP;20250227;20250227;CLP;356.43;356.43;S;20250227;0;;A004813617-01;Facturas: A004813617- 01;;
OPEN;1000;77225200-5;0200146845;2025;ZP;20250227;20250227;CLP;356.43;356.43;S;20250227;0;;A004813618-01;Facturas: A004813618- 01;;
OPEN;1000;77225200-5;0200146849;2025;ZP;20250227;20250227;CLP;356.43;356.43;S;20250227;0;;A004813621-01;Facturas: A004813621- 01;;
OPEN;1000;77225200-5;0200151749;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815323-01;Facturas: A004815323- 01;;
OPEN;1000;77225200-5;0200152129;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815480-01;Facturas: A004815480- 01;;
OPEN;1000;77225200-5;0200152143;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815493-01;Facturas: A004815493- 01;;
OPEN;1000;77225200-5;0200152159;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815508-01;Facturas: A004815508- 01;;
OPEN;1000;77225200-5;0200152174;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815514-01;Facturas: A004815514- 01;;
OPEN;1000;77225200-5;0200152184;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815524-01;Facturas: A004815524- 01;;
OPEN;1000;77225200-5;0200152198;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815538-01;Facturas: A004815538- 01;;
OPEN;1000;77225200-5;0200152205;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815543-01;Facturas: A004815543- 01;;
OPEN;1000;77225200-5;0200152211;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815548-01;Facturas: A004815548- 01;;
OPEN;1000;77225200-5;0200152215;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815551-01;Facturas: A004815551- 01;;
OPEN;1000;77225200-5;0200152216;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815552-01;Facturas: A004815552- 01;;
OPEN;1000;77225200-5;0200152219;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815554-01;Facturas: A004815554- 01;;
OPEN;1000;77225200-5;0200152220;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815555-01;Facturas: A004815555- 01;;
OPEN;1000;77225200-5;0200152227;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815564-01;Facturas: A004815564- 01;;
OPEN;1000;77225200-5;0200152237;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815574-01;Facturas: A004815574- 01;;
OPEN;1000;77225200-5;0200152239;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815575-01;Facturas: A004815575- 01;;
OPEN;1000;77225200-5;0200152242;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815578-01;Facturas: A004815578- 01;;
OPEN;1000;77225200-5;0200152250;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815584-01;Facturas: A004815584- 01;;
OPEN;1000;77225200-5;0200152253;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815587-01;Facturas: A004815587- 01;;
OPEN;1000;77225200-5;0200152257;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815591-01;Facturas: A004815591- 01;;
OPEN;1000;77225200-5;0200152270;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815601-01;Facturas: A004815601- 01;;
OPEN;1000;77225200-5;0200152271;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815602-01;Facturas: A004815602- 01;;
OPEN;1000;77225200-5;0200152282;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815612-01;Facturas: A004815612- 01;;
OPEN;1000;77225200-5;0200152288;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815617-01;Facturas: A004815617- 01;;
OPEN;1000;77225200-5;0200152294;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815621-01;Facturas: A004815621- 01;;
OPEN;1000;77225200-5;0200152296;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815623-01;Facturas: A004815623- 01;;
OPEN;1000;77225200-5;0200152311;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815634-01;Facturas: A004815634- 01;;
OPEN;1000;77225200-5;0200152315;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815637-01;Facturas: A004815637- 01;;
OPEN;1000;77225200-5;0200152318;2025;ZP;20250228;20250228;CLP;356.43;356.43;S;20250228;0;;A004815639-01;Facturas: A004815639- 01;;
