VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;SFAKN;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417731;000010;ZSNB;20260302;C;X;;M;20260302;000000000000842579;2434.02;462.46;0103;;;
0900417735;000010;ZSNB;20260302;C;X;;M;20260302;000000000000879214;1806.71;343.27;0034;;;
0900417735;000030;ZSNB;20260302;C;X;;M;20260302;000000000000702529;188.44;35.80;0034;;;
0900417735;000040;ZSNB;20260302;C;X;;M;20260302;000000000000700940;350.81;66.65;0034;;;
0900417735;000050;ZSNB;20260302;C;X;;M;20260302;000000000000700936;420.40;79.88;0034;;;
0900417735;000060;ZSNB;20260302;C;X;;M;20260302;000000000000713481;70.67;13.43;0034;;;
0900417735;000070;ZSNB;20260302;C;X;;M;20260302;000000000000866448;415.54;78.95;0034;;;
0900417735;000080;ZSNB;20260302;C;X;;M;20260302;000000000000858946;341.72;64.93;0034;;;
0900417735;000090;ZSNB;20260302;C;X;;M;20260302;000000000000858954;916.24;174.09;0034;;;
0900417735;000100;ZSNB;20260302;C;X;;M;20260302;000000000000700884;327.57;62.24;0034;;;
0900417741;000010;ZDRP;20260302;C;X;;P;20260302;000000000000704190;106.64;20.26;0034;;;
0900417741;000020;ZDRP;20260302;C;X;;P;20260302;000000000000705627;31.44;5.97;0034;;;
0900417741;000030;ZDRP;20260302;C;X;;P;20260302;000000000000705630;76.94;14.62;0034;;;
0900417741;000040;ZDRP;20260302;C;X;;P;20260302;000000000000724714;3807.66;723.46;0034;;;
0900417741;000050;ZDRP;20260302;C;X;;P;20260302;000000000000728953;11.84;2.25;0034;;;
0900417741;000070;ZDRP;20260302;C;X;;P;20260302;000000000000767206;59.77;11.36;0034;;;
0900417741;000080;ZDRP;20260302;C;X;;P;20260302;000000000000767340;445.23;84.59;0034;;;
0900417741;000090;ZDRP;20260302;C;X;;P;20260302;000000000000821466;2473.26;469.92;0034;;;
0900417741;000100;ZDRP;20260302;C;X;;P;20260302;000000000000850329;19545.76;3713.69;0034;;;
0900417741;000110;ZDRP;20260302;C;X;;P;20260302;000000000000859386;10337.77;1964.18;0034;;;
0900417741;000120;ZDRP;20260302;C;X;;P;20260302;CS38;8398.18;1595.65;0082;;;
0900417741;000130;ZDRP;20260302;C;X;;P;20260302;CS40;3407.04;647.34;0082;;;
0900417741;000140;ZDRP;20260302;C;X;;P;20260302;VARIOS_CAM;3300.00;627.00;0027;;;
0900417741;000150;ZDRP;20260302;C;X;;P;20260302;000000000001057682;407.43;77.41;0024;;;
0900417776;000010;ZDRP;20260228;C;X;;P;20260302;CS08;15167.70;2881.86;0082;;;
0900417776;000020;ZDRP;20260228;C;X;;P;20260302;000000000000164951;634.58;120.57;0103;;;
0900417776;000030;ZDRP;20260228;C;X;;P;20260302;000000000000162956;528.39;100.39;0103;;;
0900417776;000040;ZDRP;20260228;C;X;;P;20260302;000000000000171739;299.99;57.00;0103;;;
0900417776;000050;ZDRP;20260228;C;X;;P;20260302;000000000000735981;601.69;114.32;0005;;;
0900417776;000060;ZDRP;20260228;C;X;;P;20260302;000000000000728202;307.15;58.36;0103;;;
0900417776;000070;ZDRP;20260228;C;X;;P;20260302;000000000000115884;614.30;116.72;0103;;;
0900417776;000080;ZDRP;20260228;C;X;;P;20260302;000000000000159466;89.31;16.97;0103;;;
0900417776;000090;ZDRP;20260228;C;X;;P;20260302;000000000000180624;154.08;29.28;0103;;;
0900417776;000100;ZDRP;20260228;C;X;;P;20260302;CS40;8080.80;1535.35;0082;;;
0900417776;000110;ZDRP;20260228;C;X;;P;20260302;SERV.EXTERNO;12000.00;2280.00;0086;;;
0900417776;000120;ZDRP;20260228;C;X;;P;20260302;000000000000704990;140.06;26.61;0034;;;
0900417776;000130;ZDRP;20260228;C;X;;P;20260302;000000000000177451;47.89;9.10;0103;;;
0900417776;000140;ZDRP;20260228;C;X;;P;20260302;000000000000771134;304.39;57.83;0013;;;
0900417776;000150;ZDRP;20260228;C;X;;P;20260302;000000000000713780;119.58;22.72;0013;;;
0900417776;000160;ZDRP;20260228;C;X;;P;20260302;000000000000713754;183.98;34.96;0013;;;
0900417776;000170;ZDRP;20260228;C;X;;P;20260302;000000000000757231;2079.59;395.12;0013;;;
0900417776;000180;ZDRP;20260228;C;X;;P;20260302;000000000000713746;3473.35;659.94;0013;;;
0900417776;000190;ZDRP;20260228;C;X;;P;20260302;000000000000191358;455.67;86.58;0013;;;
0900417776;000200;ZDRP;20260228;C;X;;P;20260302;000000000000887311;529.41;100.59;0024;;;
0900417776;000210;ZDRP;20260228;C;X;;P;20260302;000000000000114894;648.44;123.20;0310;;;
0900417776;000220;ZDRP;20260228;C;X;;P;20260302;000000000000819909;297.40;56.51;0001;;;
0900417776;000230;ZDRP;20260228;C;X;;P;20260302;000000000000828304;941.25;178.84;0001;;;
0900417776;000240;ZDRP;20260228;C;X;;P;20260302;000000000000819952;259.43;49.29;0001;;;
0900417776;000250;ZDRP;20260228;C;X;;P;20260302;000000000000819951;127.90;24.30;0001;;;
0900417776;000260;ZDRP;20260228;C;X;;P;20260302;000000000000717613;1028.26;195.37;0001;;;
0900417776;000270;ZDRP;20260228;C;X;;P;20260302;000000000000819953;71.19;13.53;0001;;;
0900417776;000280;ZDRP;20260228;C;X;;P;20260302;000000000000772299;1635.66;310.78;0001;;;
0900417776;000290;ZDRP;20260228;C;X;;P;20260302;000000000000772461;32.77;6.23;0001;;;
0900417776;000300;ZDRP;20260228;C;X;;P;20260302;000000000000717614;46.78;8.89;0001;;;
0900417776;000310;ZDRP;20260228;C;X;;P;20260302;000000000000717615;37.06;7.04;0001;;;
0900417776;000320;ZDRP;20260228;C;X;;P;20260302;000000000000735475;327.01;62.13;0001;;;
0900417776;000330;ZDRP;20260228;C;X;;P;20260302;000000000000800753;3353.51;637.17;0001;;;
0900417776;000340;ZDRP;20260228;C;X;;P;20260302;000000000000143944;515.04;97.86;0001;;;
0900417776;000350;ZDRP;20260228;C;X;;P;20260302;000000000000107430;1189.87;226.08;0013;;;
0900417776;000360;ZDRP;20260228;C;X;;P;20260302;000000000000791502;880.00;167.20;0001;;;
0900417776;000370;ZDRP;20260228;C;X;;P;20260302;000000000000791501;2621.96;498.17;0001;;;
0900417776;000380;ZDRP;20260228;C;X;;P;20260302;CS08;7983.00;1516.77;0082;;;
0900417776;000390;ZDRP;20260228;C;X;;P;20260302;000000000000770767;115.29;21.91;0013;;;
0900417776;000400;ZDRP;20260228;C;X;;P;20260302;000000000000733380;1292.80;245.63;0013;;;
0900417776;000410;ZDRP;20260228;C;X;;P;20260302;000000000000717234;376.35;71.51;0013;;;
0900417776;000420;ZDRP;20260228;C;X;;P;20260302;000000000000717233;401.09;76.21;0013;;;
0900417776;000430;ZDRP;20260228;C;X;;P;20260302;000000000000885006;1756.94;333.82;0034;;;
0900417776;000440;ZDRP;20260228;C;X;;P;20260302;SERV.EXTERNO;425.00;80.75;0086;;;
0900417776;000450;ZDRP;20260228;C;X;;P;20260302;VARIOS_MAQ;67.50;12.83;0027;;;
0900417776;000460;ZDRP;20260228;C;X;;P;20260302;MOV0002;1995.21;379.09;0070;;;
0900417776;000470;ZDRP;20260228;C;X;;P;20260302;SERV.EXTERNO;18765.00;3565.35;0086;;;
0900417776;000480;ZDRP;20260228;C;X;;P;20260302;000000000000772367;4906.52;932.24;0013;;;
0900417776;000490;ZDRP;20260228;C;X;;P;20260302;000000000000809800;262.11;49.80;0013;;;
0900417776;000500;ZDRP;20260228;C;X;;P;20260302;CS08;11974.50;2275.16;0082;;;
0900417776;000510;ZDRP;20260228;C;X;;P;20260302;000000000000735982;918.00;174.42;0005;;;
0900417776;000520;ZDRP;20260228;C;X;;P;20260302;000000000000735981;590.86;112.26;0005;;;
0900417776;000530;ZDRP;20260228;C;X;;P;20260302;000000000000180624;154.08;29.28;0103;;;
0900417776;000540;ZDRP;20260228;C;X;;P;20260302;000000000000159466;89.31;16.97;0103;;;
0900417776;000550;ZDRP;20260228;C;X;;P;20260302;000000000000162956;528.39;100.39;0103;;;
0900417776;000560;ZDRP;20260228;C;X;;P;20260302;000000000000164951;634.58;120.57;0103;;;
0900417776;000570;ZDRP;20260228;C;X;;P;20260302;000000000000728202;307.15;58.36;0103;;;
0900417776;000580;ZDRP;20260228;C;X;;P;20260302;000000000000115884;614.30;116.72;0103;;;
0900417776;000590;ZDRP;20260228;C;X;;P;20260302;000000000000171739;299.99;57.00;0103;;;
0900417776;000600;ZDRP;20260228;C;X;;P;20260302;000000000000163175;362.95;68.96;0103;;;
0900417776;000610;ZDRP;20260228;C;X;;P;20260302;000000000000163176;3014.22;572.70;0103;;;
0900417776;000620;ZDRP;20260228;C;X;;P;20260302;000000000000191022;50.70;9.63;0103;;;
0900417776;000630;ZDRP;20260228;C;X;;P;20260302;000000000000163429;5.79;1.10;0103;;;
0900417776;000640;ZDRP;20260228;C;X;;P;20260302;000000000000191779;5.60;1.06;0103;;;
0900417776;000650;ZDRP;20260228;C;X;;P;20260302;000000000000115670;2794.38;530.93;0103;;;
0900417776;000660;ZDRP;20260228;C;X;;P;20260302;000000000000140628;2989.66;568.04;0103;;;
0900417776;000670;ZDRP;20260228;C;X;;P;20260302;000000000000191164;401.35;76.26;0103;;;
