VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;FKIMG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417764;000010;ZNCN;20260302;C;;O;20260302;NC01;4302.76;817.52;0180;1.000;;;
0900417845;000010;ZNCN;20260302;C;;O;20260302;000000000000775003;445.36;84.62;0103;1.000;;;
0900417845;000020;ZNCN;20260302;C;;O;20260302;000000000000775427;97.89;18.60;0103;1.000;;;
0900417996;000010;ZNCA;20260302;C;;O;20260302;;0.00;0.00;;0.000;;;
0900418017;000010;ZNCA;20260302;C;;O;20260302;;0.00;0.00;;0.000;;;
0900418057;000010;ZNCN;20260302;C;;O;20260302;CS54;560.01;106.40;0082;1.400;;;
0900418057;000020;ZNCN;20260302;C;;O;20260302;000000000000897455;976.56;185.55;0083;12.000;;;
0900418057;000030;ZNCN;20260302;C;;O;20260302;000000000000819714;271.75;51.63;0200;1.000;;;
0900418057;000040;ZNCN;20260302;C;;O;20260302;VARIOS_LIVIANO;143.36;27.24;0027;1.000;;;
0900418112;000020;ZNCN;20260302;C;;O;20260302;000000000000155514;170.96;32.48;0103;1.000;;;
0900418118;000010;ZNCN;20260302;C;;O;20260302;000000000000921573;4225.45;802.84;0005;2.000;;;
0900418130;000020;ZNCN;20260302;C;;O;20260302;000000000000838693;512.14;97.31;0103;2.000;;;
0900418130;000030;ZNCN;20260302;C;;O;20260302;000000000000790881;198.02;37.62;0103;4.000;;;
0900418146;000080;ZNCN;20260302;C;;O;20260302;000000000000159780;977.40;185.71;0103;6.000;;;
0900418146;000090;ZNCN;20260302;C;;O;20260302;000000000000155121;1503.36;285.63;0103;6.000;;;
0900418197;000020;ZNCN;20260302;C;;O;20260302;000000000000183246;329.94;62.69;0103;1.000;;;
0900418198;000010;ZNCN;20260302;C;;O;20260302;000000000000744123;3043.33;578.23;0006;1.000;;;
0900418203;000010;ZNCN;20260302;C;;O;20260302;000000000000108013;738.05;140.23;0103;1.000;;;
0900418206;000020;ZNCN;20260302;C;;O;20260302;000000000000736740;228.20;43.36;0001;2.000;;;
0900418213;000010;ZNCN;20260302;C;;O;20260302;000000000000835072;2018.00;383.42;0019;2.000;;;
0900418432;000030;ZNCN;20260302;C;;O;20260302;000000000000704237;1121.76;213.13;0034;1.000;;;
0900418432;000040;ZNCN;20260302;C;;O;20260302;000000000000704208;1121.76;213.14;0034;1.000;;;
0900418488;000010;ZNCA;20260302;C;;O;20260302;000000000000016540;1015977.60;193035.74;0002;1.000;;;
0900418526;000010;ZNCN;20260302;C;;O;20260302;000000000000877621;4574.36;869.12;0019;4.000;;;
0900418526;000020;ZNCN;20260302;C;;O;20260302;000000000000822443;2251.29;427.75;0019;3.000;;;
0900418526;000030;ZNCN;20260302;C;;O;20260302;000000000000852189;2302.56;437.49;0019;3.000;;;
0900418526;000040;ZNCN;20260302;C;;O;20260302;000000000000852189;2302.56;437.49;0019;3.000;;;
0900418526;000050;ZNCN;20260302;C;;O;20260302;000000000000754788;1943.58;369.28;0019;3.000;;;
