VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417704;000030;ZDRP;20260228;C;;P;20260302;VARIOS_CAM;83967.91;15953.90;0027;;;;
0900417704;000040;ZDRP;20260228;C;;P;20260302;CS38;13628.16;2589.35;0082;;;;
0900417704;000050;ZDRP;20260228;C;;P;20260302;CS38;5670.45;1077.39;0082;;;;
0900417704;000060;ZDRP;20260228;C;;P;20260302;CS40;3407.04;647.34;0082;;;;
0900417704;000070;ZDRP;20260228;C;;P;20260302;VARIOS_CAM;7000.00;1330.00;0027;;;;
0900417704;000080;ZDRP;20260228;C;;P;20260302;CS40;3702.34;703.44;0082;;;;
0900417704;000090;ZDRP;20260228;C;;P;20260302;SERV.EXTERNO;2909.54;552.81;0086;;;;
0900417704;000100;ZDRP;20260228;C;;P;20260302;000000000000110433;1724.87;327.73;0013;;;;
0900417704;000110;ZDRP;20260228;C;;P;20260302;000000000000110586;256.34;48.70;0103;;;;
0900417704;000120;ZDRP;20260228;C;;P;20260302;000000000000151037;1018.03;193.43;0013;;;;
0900417704;000130;ZDRP;20260228;C;;P;20260302;000000000000198592;575.98;109.44;0276;;;;
0900417704;000140;ZDRP;20260228;C;;P;20260302;000000000000702829;1746.30;331.80;0013;;;;
0900417704;000150;ZDRP;20260228;C;;P;20260302;000000000000703387;451.72;85.83;0013;;;;
0900417704;000160;ZDRP;20260228;C;;P;20260302;000000000000713633;152.92;29.05;0013;;;;
0900417704;000170;ZDRP;20260228;C;;P;20260302;000000000000713639;56.42;10.72;0013;;;;
0900417704;000180;ZDRP;20260228;C;;P;20260302;000000000000713746;3473.35;659.94;0013;;;;
0900417704;000190;ZDRP;20260228;C;;P;20260302;000000000000713780;255.99;48.64;0013;;;;
0900417704;000200;ZDRP;20260228;C;;P;20260302;000000000000719244;1866.01;354.54;0013;;;;
0900417704;000210;ZDRP;20260228;C;;P;20260302;000000000000737554;4580.53;870.30;0013;;;;
0900417704;000220;ZDRP;20260228;C;;P;20260302;000000000000757231;1386.39;263.41;0013;;;;
0900417704;000230;ZDRP;20260228;C;;P;20260302;000000000000795364;659.34;125.27;0013;;;;
0900417704;000240;ZDRP;20260228;C;;P;20260302;000000000000841169;4558.29;866.08;0013;;;;
0900417704;000250;ZDRP;20260228;C;;P;20260302;000000000000913205;6375.69;1211.38;0013;;;;
0900417704;000260;ZDRP;20260228;C;;P;20260302;000000000000921807;424.60;80.67;0013;;;;
0900417704;000270;ZDRP;20260228;C;;P;20260302;000000000000947600;2251.18;427.72;0013;;;;
0900417704;000280;ZDRP;20260228;C;;P;20260302;CS38;15462.72;2937.92;0082;;;;
0900417704;000290;ZDRP;20260228;C;;P;20260302;000000000000189526;1282.57;243.69;0013;;;;
0900417704;000300;ZDRP;20260228;C;;P;20260302;000000000000913253;617.00;117.23;0095;;;;
0900417704;000310;ZDRP;20260228;C;;P;20260302;CS40;5155.00;979.45;0082;;;;
0900417704;000320;ZDRP;20260228;C;;P;20260302;MV03;5703.07;1083.58;0055;;;;
0900417704;000330;ZDRP;20260228;C;;P;20260302;KMMAQ;6600.00;1254.00;0084;;;;
0900417704;000340;ZDRP;20260228;C;;P;20260302;000000000001006298;1800.00;342.00;0057;;;;
0900417704;000350;ZDRP;20260228;C;;P;20260302;MOV0002;811.50;154.19;0070;;;;
0900417704;000360;ZDRP;20260228;C;;P;20260302;CS08;6634.95;1260.64;0082;;;;
0900417705;000010;ZDRP;20260228;C;;P;20260302;CS40;64733.76;12299.37;0082;;;;
0900417705;000020;ZDRP;20260228;C;;P;20260302;000000000001006353;3500.00;665.00;0027;;;;
0900417705;000040;ZDRP;20260228;C;;P;20260302;000000000000994303;5629.63;1069.63;0013;;;;
0900417705;000050;ZDRP;20260228;C;;P;20260302;000000000000871726;310.14;58.93;0013;;;;
0900417705;000060;ZDRP;20260228;C;;P;20260302;000000000000716978;1987.15;377.56;0013;;;;
0900417705;000070;ZDRP;20260228;C;;P;20260302;000000000000163023;343.40;65.25;0103;;;;
0900417705;000080;ZDRP;20260228;C;;P;20260302;000000000000110135;161.22;30.63;0013;;;;
0900417705;000090;ZDRP;20260228;C;;P;20260302;000000000000713658;62.26;11.83;0013;;;;
0900417705;000100;ZDRP;20260228;C;;P;20260302;000000000000951986;3584.55;681.06;0013;;;;
0900417705;000110;ZDRP;20260228;C;;P;20260302;000000000000766681;152.26;28.93;0013;;;;
0900417705;000120;ZDRP;20260228;C;;P;20260302;000000000000831603;1049.64;199.43;0013;;;;
0900417705;000130;ZDRP;20260228;C;;P;20260302;000000000000716740;2392.99;454.67;0013;;;;
0900417705;000140;ZDRP;20260228;C;;P;20260302;000000000000875526;4201.40;798.27;0013;;;;
0900417705;000160;ZDRP;20260228;C;;P;20260302;000000000000110439;879.69;167.14;0013;;;;
0900417705;000170;ZDRP;20260228;C;;P;20260302;000000000000715130;203.44;38.65;0013;;;;
0900417705;000180;ZDRP;20260228;C;;P;20260302;000000000000716915;1806.45;343.23;0013;;;;
0900417705;000190;ZDRP;20260228;C;;P;20260302;000000000000936798;587.17;111.56;0013;;;;
0900417705;000200;ZDRP;20260228;C;;P;20260302;000000000000936797;1866.20;354.58;0013;;;;
0900417705;000210;ZDRP;20260228;C;;P;20260302;000000000000936796;1654.84;314.42;0013;;;;
0900417705;000220;ZDRP;20260228;C;;P;20260302;000000000001006174;1986.29;377.40;0013;;;;
0900417705;000230;ZDRP;20260228;C;;P;20260302;000000000000766630;364.23;69.20;0013;;;;
0900417705;000240;ZDRP;20260228;C;;P;20260302;000000000000766661;141.63;26.91;0013;;;;
