EQUNR;SERNR;MATNR;HERST;WERK;INBDT;BAUJJ;CHARGE;LVORM;EQKTX
9BGKS48T0KG189225;9BGKS48T0KG189225;000000000000890445;;;00000000;2019;;;CHEVROLET ONIX
9BGKS48T0HG132449;9BGKS48T0HG132449;000000000000890445;;;00000000;2017;;;CHEVROLET ONIX
9BGKT69T0H6248059;9BGKT69T0H6248059;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
KL1C6MY0CCM012433;KL1C6MY0CCM012433;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
KL1CM658CD4115004;KL1CM658CD4115004;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
KL1FC1DV6CB060370;KL1FC1DV6CB060370;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
KL1JM5CEXEB722320;KL1JM5CEXEB722320;000000000000748927;;;00000000;2014;;;CHEVROLET SONIC
KL1MM6A06BC131272;KL1MM6A06BC131272;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
KL1TM5C78AB022039;KL1TM5C78AB022039;000000000000748927;;;00000000;2010;;;CHEVROLET SAIL
KLSGS58M6CY310951;KLSGS58M6CY310951;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
KNAFW411AB5906119;KNAFW411AB5906119;000000000000011112;;;00000000;2011;;;KIA CERATO
KSGSA58M0CY310816;KSGSA58M0CY310816;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LS65A58M7BY052325;LS65A58M7BY052325;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LS6SA52M2CY261272;LS6SA52M2CY261272;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LS6SA52M5DY177674;LS6SA52M5DY177674;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LGSA52M1DY201680;LGSA52M1DY201680;000000000000748927;;;00000000;2000;;;CHEVROLET SAIL
LSG5A58M1BY000432;LSG5A58M1BY000432;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGA52MXBY001782;LSGA52MXBY001782;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGGD52HXJD030161;LSGGD52HXJD030161;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H0GD255911;LSGHD52H0GD255911;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H0GD255961;LSGHD52H0GD255961;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
L5GHD52H7KF039756;L5GHD52H7KF039756;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
L5GSA52M3FY124894;L5GSA52M3FY124894;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGHD52H2HD178976;LSGHD52H2HD178976;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H3HD312006;LSGHD52H3HD312006;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H8JD130792;LSGHD52H8JD130792;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H2HD196085;LSGHD52H2HD196085;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H4LD152288;LSGHD52H4LD152288;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H0HD257370;LSGHD52H0HD257370;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H0HD270796;LSGHD52H0HD270796;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H0HD290370;LSGHD52H0HD290370;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H3JD077581;LSGHD52H3JD077581;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H6JD130287;LSGHD52H6JD130287;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H6JD196063;LSGHD52H6JD196063;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H5JD110385;LSGHD52H5JD110385;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H0MD146991;LSGHD52H0MD146991;000000000000748927;;;00000000;2021;;;CHEVROLET SAIL
LSGHD52H1LD196104;LSGHD52H1LD196104;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H3MD153904;LSGHD52H3MD153904;000000000000748927;;;00000000;2021;;;CHEVROLET SAIL
LSGHD52H76D253010;LSGHD52H76D253010;000000000000748927;;;00000000;2006;;;CHEVROLET SAIL
LSGHD52H7F0267892;LSGHD52H7F0267892;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGHD52H0JD195717;LSGHD52H0JD195717;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H3KD015843;LSGHD52H3KD015843;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H5MD149675;LSGHD52H5MD149675;000000000000748927;;;00000000;2021;;;CHEVROLET SAIL
LSGHD52H5MD151863;LSGHD52H5MD151863;000000000000748927;;;00000000;2021;;;CHEVROLET SAIL
LSGHD52H7KD076404;LSGHD52H7KD076404;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H1JD220589;LSGHD52H1JD220589;000000000000748927;;;00000000;2018;;;CHEVROLET SAIL
LSGHD52H6FD268385;LSGHD52H6FD268385;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGHD52H6KD058511;LSGHD52H6KD058511;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H8GD250956;LSGHD52H8GD250956;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H1KD023908;LSGHD52H1KD023908;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H3FD268411;LSGHD52H3FD268411;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGHD52H4FD268191;LSGHD52H4FD268191;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGHD52H5FD298400;LSGHD52H5FD298400;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGHD52H5GD212651;LSGHD52H5GD212651;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H7GD253119;LSGHD52H7GD253119;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H0KD024919;LSGHD52H0KD024919;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H1KD027568;LSGHD52H1KD027568;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H3GD252890;LSGHD52H3GD252890;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H2GD249334;LSGHD52H2GD249334;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H4KD118818;LSGHD52H4KD118818;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD52H5GD253006;LSGHD52H5GD253006;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H8HD176228;LSGHD52H8HD176228;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H1GD251351;LSGHD52H1GD251351;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H4LD029462;LSGHD52H4LD029462;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H5GD254804;LSGHD52H5GD254804;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H5GD254950;LSGHD52H5GD254950;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H0LD012318;LSGHD52H0LD012318;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H4LD060212;LSGHD52H4LD060212;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H7HD276028;LSGHD52H7HD276028;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H7HD290706;LSGHD52H7HD290706;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H1LD013137;LSGHD52H1LD013137;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H2HD143970;LSGHD52H2HD143970;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H3HD218711;LSGHD52H3HD218711;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H3LD110145;LSGHD52H3LD110145;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD52H4HD216644;LSGHD52H4HD216644;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H5HD175201;LSGHD52H5HD175201;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H2HD172756;LSGHD52H2HD172756;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H4HD237431;LSGHD52H4HD237431;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H4LD098104;LSGHD52H4LD098104;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD54HXGD249546;LSGHD54HXGD249546;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD54HXGD249658;LSGHD54HXGD249658;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M0BY009549;LSGSA52M0BY009549;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M0FY216156;LSGSA52M0FY216156;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
