MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000848379;0005;M4;;;ST;;TORNILLO;1CD0
000000000000848380;0005;M4;;;ST;;SOPORTE;1CD0
000000000000848482;0005;M4;;;ST;;MANGUERA HIDRAULICA;1CD0
000000000000848484;0005;M4;;;ST;;MANGUERA HIDRAULICA;1CD0
000000000000848483;0005;M4;;;ST;;MANGUERA;1CD0
000000000000848481;0005;M4;;;ST;;CONEXIÓN;1CD0
000000000000873493;0005;M4;;;ST;;BATERIA;1CD0
000000000000016031;0005;M4;;;ST;;ERROR;1CD0
000000000000002578;0005;M4;;;ST;;DIFERENCIA DE PRECIO;1CD0
000000000000846313;0005;M4;;;ST;;RODADO COMPLETO 380/70R24;1CD0
000000000000851505;0005;M4;;;ST;;RODADO COMPLETO 380/70R24;1CD0
000000000000857312;0005;M4;;;ST;;RODADO COMPLETO 380/70R24;1CD0
000000000000878641;0005;M0;;;ST;;KIT LOGOS ADHESIVO TROQUELADO - CAHUELMO;1CD0
000000000000878642;0005;M0;;;ST;;KIT LOGOS ADHESIVO TROQUELADO - CAHUELMO;1CD0
000000000000878643;0005;M0;;;ST;;KIT LOGOS ADHESIVO TROQUELADO - CAHUELMO;1CD0
000000000000878649;0005;M0;;;ST;;KIT LOGOS ADHESIVO TROQUELADO - CAHUELMO;1CD0
000000000000793767;0005;M0;;;ST;;ACOPLE RAPIDO TRASERO RETRO 310SK  5410;1CD0
000000000000793769;0005;M0;;;ST;;ACOPLE RAPIDO TRASERO RETRO 310SK  5410;1CD0
000000000000793770;0005;M0;;;ST;;ACOPLE RAPIDO TRASERO RETRO 310SK  5410;1CD0
000000000000922931;0005;M0;;;ST;;JD CARGADOR 744L;1CD0
000000000000012002;0005;M0;;;ST;;JD BULLD 650J;1CD0
000000000000752392;0005;M3;;;ST;;GRUA PRENTICE 210E USADA;1CD0
000000000000753542;0005;M3;;;ST;;GRUA PRENTICE 210E USADA;1CD0
000000000000853816;0005;M2;;;ST;;JD BULLD 650J;1CD0
000000000000874404;0005;M0;;;ST;;ARMY PINTURA SHERWIN WILLIAMS MINIS;1CD0
000000000000875589;0005;M0;;;ST;;ARMY PINTURA SHERWIN WILLIAMS MINIS;1CD0
000000000000882680;0005;M0;;;ST;;ARMY PINTURA SHERWIN WILLIAMS MINIS;1CD0
000000000000012003;0005;M0;;;ST;;JD BULLD 850J SEMI U Y RIPPER;1CD0
000000000000848858;0005;M4;;;ST;;Monitor GreenStar 3 modelo 2630 0706PC;1CD0
000000000000854171;0005;M2;;;ST;;JD EXCAV. 250G LC BR;1CD0
000000000000891700;0005;M0;;;ST;;JD EXCAV. 250G LC BR;1CD0
000000000000872793;0005;M4;;;ST;;NA arado de 3 discos reversible hidraul.;1CD0
000000000000012401;0005;M1;;;ST;;GRUA FORESTAL DEERE 335C GARRA ESERMA;1CD0
000000000000012402;0005;M1;;;ST;;GRUA FORESTAL DEERE 335C GARRA ROTOBEC;1CD0
000000000000012415;0005;M1;;;ST;;GRUA FORESTAL DEERE 335C GARRA ESERMA;1CD0
000000000000012416;0005;M1;;;ST;;GRUA FORESTAL DEERE 335C GARRA ROTOBEC;1CD0
000000000000843441;0005;M4;;;ST;;RODADO COMPLETO 340/85 R24;1CD0
000000000000846314;0005;M4;;;ST;;RODADO COMPLETO 280/70R16;1CD0
000000000000853191;0005;M4;;;ST;;RODADO COMPLETO 340/85 R24;1CD0
000000000000851504;0005;M4;;;ST;;RODADO COMPLETO 280/70R16;1CD0
000000000000855289;0005;M4;;;ST;;RODADO COMPLETO 16,9 X 30 /W15 X 30 BKT;1CD0
000000000000855319;0005;M4;;;ST;;RODADO COMPLETO 16,9 X 30 /W15 X 30 BKT;1CD0
