MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000194872;0103;R0;0000100157;07LCA95959I;ST;;JGO. CUCHILLAS DE CORTE (VER NOTA);1CD0
000000000000754576;0103;R0;0000100157;07T444876I;ST;;LAINA DE AJUSTE PASADOR TK: 1,57MM;1CD0
000000000000778742;0103;R0;0000100157;07TY25876BI;ST;;BATERIA WET 12V BCI 51 500CCA 45AH;1CD0
000000000000782217;0103;R0;0000100157;07DQ06113I;ST;;KIT SELLOS CILINDRO HID.;1CD0
000000000000786811;0103;R0;0000100157;07DQ06115I;ST;;KIT SELLOS CILINDRO HID.;1CD0
000000000000836553;0103;R0;0000100157;07T455190I;ST;;LAINA AJUSTE BALDE TK: 3,21MM;1CD0
000000000000921572;0103;R0;0000100157;07TY27806BI;ST;;BATERIA WET 12V BCI 51 425CCA 40AH;1CD0
000000000000967025;0103;R0;0000100157;07UC42067I;ST;;PERILLA FRENO PARQUEO NARANJA;1CD0
000000000000967026;0103;R0;0000100157;07UC21882I;ST;;ADAPTADOR PERILLA FRENO PARQUEO NEGRO;1CD0
000000000001068952;0103;R0;0000100157;07RE591839I;ST;;ESTANQUE COMB.;1CD0
000000000001068953;0103;R0;0000100157;07ER260906I;ST;;PASADOR;1CD0
000000000001068954;0103;R0;0000100157;07ER260905I;ST;;PASADOR;1CD0
000000000001068955;0103;R0;0000100157;07UC17745I;ST;;SOPORTE;1CD0
000000000001068957;0103;R0;0000100157;07AXE27970I;ST;;SENSOR DE PRESION;1CD0
000000000001068958;0103;R0;0000100157;07L208108I;ST;;JUNTA;1CD0
000000000001068959;0103;R0;0000100157;07AL202209I;ST;;CONO DE COJINETE;1CD0
000000000001068960;0103;R0;0000100157;07L202506I;ST;;PISTA DE RODAMIENTO;1CD0
000000000001068991;0103;R0;0000100157;07R282502I;ST;;PISTA DE RODAMIENTO;1CD0
000000000001068992;0103;R0;0000100157;07L202507I;ST;;RODAMIENTO;1CD0
000000000001068993;0103;R0;0000100157;07RE282493I;ST;;CONO DE COJINETE;1CD0
000000000001068994;0103;R0;0000100157;07L174442I;ST;;PISTA DE RODAMIENTO;1CD0
000000000001068995;0103;R0;0000100157;07AL178946I;ST;;CONO DE COJINETE;1CD0
000000000001068996;0103;R0;0000100157;07L214191I;ST;;ANILLO 55 X 2.14;1CD0
000000000001068997;0103;R0;0000100157;07L214192I;ST;;ANILLO 55 X 2.22;1CD0
000000000001068998;0103;R0;0000100157;07L214193I;ST;;ANILLO 55 X 2.30;1CD0
000000000001068999;0103;R0;0000100157;07L214194I;ST;;ANILLO 55 X 2.38;1CD0
000000000001069000;0103;R0;0000100157;07L214195I;ST;;ANILLO;1CD0
000000000001069001;0103;R0;0000100157;07L214196I;ST;;ANILLO;1CD0
000000000001069002;0103;R0;0000100157;07L214197I;ST;;ANILLO;1CD0
000000000001069003;0103;R0;0000100157;07L214198I;ST;;ANILLO;1CD0
000000000001069004;0103;R0;0000100157;07L214199I;ST;;ANILLO;1CD0
000000000001069005;0103;R0;0000100157;07L213765I;ST;;ENGRANAJE;1CD0
000000000001069006;0103;R0;0000100157;07L174122I;ST;;ANILLO;1CD0
000000000001069007;0103;R0;0000100157;07L210000I;ST;;ANILLO;1CD0
000000000001069008;0103;R0;0000100157;07L209148I;ST;;RETENEDOR;1CD0
000000000001069009;0103;R0;0000100157;07AL208241I;ST;;DISCO EMBRAGUE;1CD0
000000000001069010;0103;R0;0000100157;07AL209771I;ST;;PISTON;1CD0
000000000001069011;0103;R0;0000100157;0740M7262I;ST;;ANILLO ELASTICO;1CD0
000000000001069012;0103;R0;0000100157;07AL221169I;ST;;RODAMIENTO DE BOLAS;1CD0
000000000001069013;0103;R0;0000100157;07L217990I;ST;;SNAP RING;1CD0
000000000001069014;0103;R0;0000100157;07L208106I;ST;;RODAMIENTO DE AGUJAS;1CD0
000000000001069015;0103;R0;0000100157;07L208385I;ST;;ARANDELA;1CD0
000000000001069016;0103;R0;0000100157;07L174451I;ST;;PISTA DE RODAMIENTO;1CD0
